e codes	are used for	coding suffocation incidents
suffocation	can occur due to	obstruction of the nasal airway
suffocation	can be caused by	inhalation of harmful gases
suffocation	can result from	constriction of the throat
suffocation	can occur during	an asthma attack
suffocation	can be caused by	inhalation of toxic chemicals
suffocation	can occur due to	inhalation of foreign bodies
suffocation	can result from	inhalation of irritant gases
suffocation	can occur due to	strangulation of the windpipe
suffocation	can be caused by	inhalation of noxious fumes
suffocation	can occur during	respiratory infection
suffocation	can result from	airway obstruction
suffocation	can be caused by	inhalation of harmful substances
suffocation	can occur due to	obstruction of the air passages
suffocation	can result from	choking on small objects
suffocation	can be caused by	inhalation of toxic fumes
suffocation	can occur due to	inhalation of smoke
suffocation	can result from	constriction of the bronchial tubes
suffocation	can occur during	anaphylaxis
suffocation	can be caused by	inhalation of polluted air
suffocation	can occur due to	upper airway obstruction
suffocation	can result from	constriction of the air passages
suffocation	can be caused by	inhalation of allergens
suffocation	can occur during	respiratory distress syndrome
suffocation	can result from	inhalation of toxic substances
suffocation	can occur due to	inhalation of vomit
suffocation	can be caused by	inhalation of noxious gases
suffocation	can occur from	compression of the chest
suffocation	can result from	inhalation of vomit
suffocation	can be caused by	inhalation of irritants
suffocation	can result from	smothering with a pillow
suffocation	can occur due to	choking on food
suffocation	can be caused by	restriction of the airway
suffocation	can occur during	laryngospasm
suffocation	can result from	inhalation of smoke
suffocation	can occur due to	respiratory distress
suffocation	can be caused by	constriction of the windpipe
suffocation	can result from	compression of the lungs
suffocation	can occur during	seizures
suffocation	can be caused by	blockage of the nasal passages
suffocation	can occur from	inhalation of chemicals
suffocation	can result from	respiratory muscle paralysis
suffocation	can occur due to	a collapsed trachea
suffocation	can be caused by	constriction of the air passages
suffocation	can occur due to	hyperventilation
suffocation	can result from	inhalation of polluted air
suffocation	can occur during	unconsciousness
suffocation	can be caused by	inhalation of noxious fumes
suffocation	can occur due to	constriction of the airway
suffocation	can result from	respiratory insufficiency
suffocation	can occur during	status asthmaticus
suffocation	can be caused by	inhalation of volatile chemicals
suffocation	can occur due to	respiratory tract infection
suffocation	can result from	inhalation of noxious fumes
suffocation	can occur from	lack of oxygen to the brain
suffocation	can be caused by	inhalation of harmful gases
suffocation	can result from	constriction of the throat
suffocation	can occur during	an asthma attack
suffocation	can be caused by	inhalation of toxic chemicals
suffocation	can result from	airway obstruction
suffocation	can occur from	inhalation of toxic substances
suffocation	can be caused by	inhalation of irritant gases
suffocation	can occur due to	strangulation of the windpipe
suffocation	can result from	constriction of the bronchial tubes
suffocation	can occur during	respiratory infection
suffocation	can be caused by	inhalation of harmful substances
suffocation	can occur due to	obstruction of the air passages
suffocation	can result from	choking on small objects
suffocation	can be caused by	inhalation of toxic fumes
suffocation	can occur due to	inhalation of smoke
suffocation	can result from	constriction of the air passages
suffocation	can occur during	anaphylaxis
suffocation	can be caused by	inhalation of polluted air
suffocation	can occur due to	upper airway obstruction
suffocation	can result from	constriction of the air passages
suffocation	can be caused by	inhalation of allergens
suffocation	can occur during	respiratory distress syndrome
suffocation	can result from	inhalation of toxic substances
suffocation	can occur due to	inhalation of vomit
suffocation	can be caused by	inhalation of noxious gases
suffocation	can occur from	compression of the chest
suffocation	can result from	inhalation of vomit
suffocation	can be caused by	inhalation of irritants
suffocation	can result from	smothering with a pillow
suffocation	can occur due to	choking on food
suffocation	can be caused by	restriction of the airway
suffocation	can occur during	laryngospasm
suffocation	can result from	inhalation of smoke
suffocation	can occur due to	respiratory distress
suffocation	can be caused by	constriction of the windpipe
suffocation	can result from	compression of the lungs
suffocation	can occur during	seizures
suffocation	can be caused by	blockage of the nasal passages
suffocation	can occur from	inhalation of chemicals
suffocation	can result from	respiratory muscle paralysis
suffocation	can occur due to	a collapsed trachea
suffocation	can be caused by	constriction of the air passages
suffocation	can occur due to	hyperventilation
suffocation	can result from	inhalation of polluted air
suffocation	can occur during	unconsciousness
suffocation	can be caused by	inhalation of noxious fumes
suffocation	can occur due to	constriction of the airway
suffocation	can result from	respiratory insufficiency
suffocation	can occur during	status asthmaticus
suffocation	can be caused by	inhalation of volatile chemicals
suffocation	can occur due to	respiratory tract infection
suffocation	can result from	inhalation of noxious fumes
suffocation	can occur from	lack of oxygen to the brain
suffocation	can be caused by	inhalation of harmful gases
suffocation	can result from	constriction of the throat
suffocation	can occur during	an asthma attack
suffocation	can be caused by	inhalation of toxic chemicals
suffocation	can result from	airway obstruction
suffocation	can occur from	inhalation of toxic substances
suffocation	can be caused by	inhalation of irritant gases
suffocation	can occur due to	strangulation of the windpipe
suffocation	can result from	constriction of the bronchial tubes
suffocation	can occur during	respiratory infection
suffocation	can be caused by	inhalation of harmful substances
suffocation	can occur due to	obstruction of the air passages
suffocation	can result from	choking on small objects
suffocation	can be caused by	inhalation of toxic fumes
suffocation	can occur due to	inhalation of smoke
suffocation	can result from	constriction of the air passages
suffocation	can occur during	anaphylaxis
suffocation	can be caused by	inhalation of polluted air
suffocation	can occur due to	upper airway obstruction
suffocation	can result from	constriction of the air passages
suffocation	can be caused by	inhalation of allergens
suffocation	can occur during	respiratory distress syndrome
suffocation	can result from	inhalation of toxic substances
suffocation	can occur due to	inhalation of vomit
suffocation	can be caused by	inhalation of noxious gases
suffocation	can occur from	compression of the chest
suffocation	can result from	inhalation of vomit
suffocation	can be caused by	inhalation of irritants
suffocation	can result from	smothering with a pillow
suffocation	can occur due to	choking on food
suffocation	can be caused by	restriction of the airway
suffocation	can occur during	laryngospasm
