diagnostic nervous system procedures	are	medical procedures
optical coherence tomography	provides	high-resolution images of the retina
neuropsychological testing and evaluation	is a type of	diagnostic nervous system procedures
neuropsychological testing and evaluation	assesses	cognitive function
nerve conduction study of the lower extremity	is a measure of	how well nerves in the lower extremity are functioning
neuropsychological assessment and testing	is a type of	diagnostic nervous system procedures
neuropsychological assessment and testing	evaluates	cognitive function
brainstem auditory evoked potential test	is a measure of	hearing function
motor nerve conduction velocity	is a measure of	nerve function
polygraphic recording	is a type of	diagnostic nervous system procedures
polygraphic recording	evaluates	physiological signals during sleep
nerve conduction velocity study	is a type of	diagnostic nervous system procedures
nerve conduction velocity study	measures	how fast electrical impulses travel along nerves
transepidermal nerve fiber density	is a measure of	nerve function in the skin
nerve conduction velocity of the median nerve	is a measure of	how well the median nerve is functioning
multimodal evoked potentials	is a type of	diagnostic nervous system procedures
multimodal evoked potentials	measures	how the brain responds to multiple stimuli
visual evoked potentials testing	is a type of	diagnostic nervous system procedures
visual evoked potentials testing	measures	electrical activity in the brain in response to visual stimuli
nerve conduction study of the arms and legs	is a type of	diagnostic nervous system procedures
nerve conduction study of the arms and legs	measures	how well nerves in the arms and legs are functioning
nerve conduction studies	is a type of	diagnostic nervous system procedures
nerve conduction studies	measure	nerve function
evoked potential testing	is a measure of	the electrical response of the brain in response to stimuli
nerve conduction study of the lower limb	is a measure of	how well nerves in the lower limb are functioning
electroretinography testing	is a type of	diagnostic nervous system procedures
electroretinography testing	measures	the electrical response of the retina
auditory brainstem response evoked potential	is a type of	diagnostic nervous system procedures
auditory brainstem response evoked potential	measures	hearing function
nerve conduction study of the upper limb	is a type of	diagnostic nervous system procedures
