urinary tract infection	can be treated with	antibiotics
ileal conduit diversion	is a	surgical procedure
ileal conduit diversion	can reroute	urine flow
urethral meatoplasty	is a	surgical procedure
urethral meatoplasty	can treat	urethral strictures
ureteral reimplantation with ureteral tailoring	is a	surgical procedure
ureteral reimplantation with ureteral tailoring	can correct	vesicoureteral reflux
urodynamic testing	is a	diagnostic procedure
urodynamic testing	can evaluate	bladder function
ureteroscopy with basket extraction	is a	surgical procedure
ureteroscopy with basket extraction	can remove	kidney stones
ileal conduit construction	is a	surgical procedure
ileal conduit construction	can create	a urinary diversion
urethral calibration	is a	therapeutic procedure
urethral calibration	can dilate	the urethra
antegrade nephrostomy	is a	interventional procedure
antegrade nephrostomy	can drain	blocked kidneys
dyna method	is a	therapeutic procedure
dyna method	can treat	urinary incontinence
urethrectomy	is a	surgical procedure
urethrectomy	can remove	the urethra
neobladder diversion	is a	surgical procedure
neobladder diversion	can create	a new bladder
flexible cystoscopy	is a	diagnostic procedure
flexible cystoscopy	can visualize	the lower urinary tract
ureteroneocystostomy	is a	surgical procedure
ureteroneocystostomy	can connect	the ureter to the bladder
therapeutic procedures	are used for	treating diseases
urinary tract	is a part of	the body
therapeutic procedures of urinary tract	can include	surgery
surgery	can be used for	removing tumors
tumors	can be present in	the urinary tract
therapeutic procedures of urinary tract	can include	medication
medication	is used for	treating infections
infections	can occur in	the urinary tract
therapeutic procedures of urinary tract	can include	catheterization
catheterization	is used for	draining urine
urine	can accumulate in	the urinary tract
therapeutic procedures of urinary tract	can include	lithotripsy
lithotripsy	is used for	breaking down kidney stones
kidney stones	can form in	the urinary tract
therapeutic procedures of urinary tract	can include	stent placement
stent placement	is used for	keeping the urinary tract open
therapeutic procedures of urinary tract	can include	laser surgery
laser surgery	is used for	treating urinary tract obstructions
urinary tract obstructions	can block	the flow of urine
therapeutic procedures of urinary tract	can include	radiofrequency ablation
radiofrequency ablation	is used for	destroying abnormal tissue
abnormal tissue	can be present in	the urinary tract
therapeutic procedures of urinary tract	can include	urinary diversion
urinary diversion	is used for	redirecting urine flow
therapeutic procedures of urinary tract	can include	tube insertion
tube insertion	is used for	draining fluid from the urinary tract
fluid	can accumulate in	the urinary tract
therapeutic procedures of urinary tract	can include	ureteroscopy
ureteroscopy	is used for	treating conditions in the ureter
conditions	can affect	the urinary tract
therapeutic procedures of urinary tract	can include	bladder augmentation
bladder augmentation	is used for	increasing bladder capacity
bladder capacity	can be reduced in	the urinary tract
therapeutic procedures of urinary tract	can include	urethral dilation
urethral dilation	is used for	widening the urethra
urethral narrowing	can occur in	the urinary tract
therapeutic procedures of urinary tract	can include	prostatectomy
prostatectomy	is used for	removing the prostate gland
prostate gland	can be affected by	conditions in the urinary tract
therapeutic procedures of urinary tract	can include	cystoscopy
cystoscopy	is used for	examining the bladder
bladder	is part of	the urinary tract
therapeutic procedures of urinary tract	can include	urinary incontinence surgery
urinary incontinence surgery	is used for	treating urinary incontinence
urinary incontinence	can occur in	the urinary tract
therapeutic procedures of urinary tract	can include	urethral sling surgery
urethral sling surgery	is used for	treating urinary incontinence
therapeutic procedures of urinary tract	can include	urinary diversion surgery
urinary diversion surgery	is used for	redirecting urine flow
